schoolLocation,schoolName,schoolType,schoolLevel,gradeRange
Kitchener,John Darling Public School,Public,Elementary,JK-6
Elmira,John Mahood Public School,Public,Elementary,JK-6
Waterloo,Keatsway Public School,Public,Elementary,JK-6
Kitchener,King Edward Public School,Public,Elementary,JK-6
Kitchener,Lackner Woods Public School,Public,Elementary,JK-6
Waterloo,Laurelwood Public School,Public,Elementary,JK-8
Kitchener,Laurentian Public School,Public,Elementary,7-8
Waterloo,Lester B Pearson PS Public School,Public,Elementary,JK-8
Waterloo,Lexington Public School,Public,Elementary,JK-6
Waterloo,Lincoln Heights Public School,Public,Elementary,JK-8
Linwood,Linwood Public School,Public,Elementary,JK-8
Waterloo,MacGregor Public School,Public,Elementary,6-8
Kitchener,Mackenzie King Public School,Public,Elementary,JK-6
Cambridge,Manchester Public School,Public,Elementary,JK-6
Kitchener,Margaret Avenue Public School,Public,Elementary,7-8
Waterloo,Mary Johnston Public School,Public,Elementary,JK-6
Kitchener,Meadowlane Public School,Public,Elementary,JK-6
Waterloo,Millen Woods Public School,Public,Elementary,JK-6
Cambridge,Moffat Creek Public School,Public,Elementary,JK-8
