schoolLocation,schoolName,schoolType,schoolLevel,gradeRange
Markham,Mount Joy Public School,Public,Elementary,JK-8
Vaughan,Nellie McClung Public School,Public,Elementary,JK-8
Newmarket,Newmarket High School,Public,Secondary,9-12
Nobleton,Nobleton Public School,Public,Elementary,JK-8
Aurora,Northern Lights Public School,Public,Elementary,JK-8
Richmond Hill,O M MacKillop Public School,Public,Elementary,JK-8
Richmond Hill,Oak Ridges Public School,Public,Elementary,JK-8
Stouffville,Oscar Peterson Public School,Public,Elementary,JK-8
Holland Landing,Park Avenue Public School,Public,Elementary,JK-8
Markham,Parkland Public School,Public,Elementary,JK-8
Unionville,Parkview Public School,Public,Elementary,JK-8
